id,token_name,token_address,network,price_at_alert,score,base_score,momentum_bonus,confidence_score,volume_24h,volume_6h,volume_1h,liquidity,buys_24h,sells_24h,buy_ratio,total_txns,age_hours,created_at

1,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,20.9266785167536,100,95,10,85,1693766.31546103,53142.4840808726,3126.1371785944,1062287.2982,2179,2014,0.0,4193,39.26394027888889,2025-12-17 01:16:38

2,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,20.9429537154326,100,95,10,85,1692971.23788735,52240.1846140803,3375.2832298087,1062719.8146,2174,2012,0.0,4186,39.35367351666667,2025-12-17 01:22:01

3,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,20.9679994065295,100,95,10,85,1687606.70977233,51133.1596000836,2689.1188345975,1063610.5768,2167,2007,0.0,4174,39.44334826222222,2025-12-17 01:27:24

4,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,20.815807734436,100,95,10,85,1679911.18671472,49112.4777821463,2194.6970346154,1060797.1977,2155,1996,0.0,4151,39.53288135333334,2025-12-17 01:32:46

5,TER / SOL,B3mWAUYnsVBRECwKUyHM4PDRbARGF47UbK8wSXvo4C2c,solana,0.00011247643016041046,95,65,30,85,171507.689476063,171507.689476063,171507.689476063,213010.3087,183,132,0.0,315,0.03523242305555556,2025-12-17 01:32:48

6,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,20.9121180248658,100,95,10,85,1679913.18211122,49114.4731786494,2196.6924311184,1060310.5716,2156,1996,0.0,4152,39.62311371305556,2025-12-17 01:38:11

7,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,21.0217613059012,100,95,10,85,1676571.65515498,48095.6313415006,1746.4599310689,1060778.8771,2150,1975,0.0,4125,39.71278540638889,2025-12-17 01:43:35

8,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,21.3152638938761,100,95,10,85,1681305.59894311,52465.4152433882,7110.4362379945,1075067.8162,2145,1969,0.0,4114,39.802626305555556,2025-12-17 01:48:57

9,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,21.350417764398,100,95,10,85,1669720.83382967,51745.9254824543,7149.5594179474,1071630.5544,2141,1955,0.0,4096,39.89227239611111,2025-12-17 01:54:21

